Rank;Title;Artists;Date;Danceability;Energy;Loudness;Speechiness;Acousticness;Instrumentalness;Valence;Points;Day in trending
49;Under The Influence;Chris Brown;10/03/2023;0.733;0.690;-5.529.000;0.043;0.064;0.000;0.310;152;149
12;Unholy (feat. Kim Petras);Sam Smith, Kim Petras;10/03/2023;0.712;0.463;-7.399.000;0.080;0.011;0.000;0.206;189;149
135;Unstoppable;Sia;10/03/2023;0.468;0.779;-4.839.000;0.078;0.112;0.000;0.260;66;149
105;Until I Found You;Stephen Sanchez;10/03/2023;0.346;0.500;-6.097.000;0.039;0.757;0.000;0.191;96;147
23;Until I Found You (with Em Beihold) - Em Beihold Version;Stephen Sanchez, Em Beihold;10/03/2023;0.551;0.550;-5.339.000;0.029;0.777;0.000;0.342;178;149
99;Violet Chemistry;Miley Cyrus;10/03/2023;0.642;0.715;-5.711.000;0.039;0.003;0.000;0.588;102;2
165;VISTA AL MAR;Quevedo;10/03/2023;0.759;0.561;-5.643.000;0.131;0.803;0.121;0.491;36;76
111;Viva La Vida;Coldplay;10/03/2023;0.486;0.617;-7.115.000;0.029;0.095;0.000;0.417;90;149
151;WANDA;Quevedo;10/03/2023;0.724;0.631;-4.420;0.069;0.249;0.000;0.957;50;59
60;Watch This - ArizonaTears Pluggnb Remix;Lil Uzi Vert, sped up nightcore, ArizonaTears;10/03/2023;0.686;0.897;-7.180;0.039;0.010;0.103;0.355;141;92
121;Watermelon Sugar;Harry Styles;10/03/2023;0.548;0.816;-4.209.000;0.047;0.122;0.000;0.557;80;149
101;We Found Love;Rihanna, Calvin Harris;10/03/2023;0.734;0.766;-4.485.000;0.038;0.025;0.001;0.600;100;106
124;When I Was Your Man;Bruno Mars;10/03/2023;0.601;0.271;-8.688.000;0.040;0.937;0.000;0.411;77;148
195;Why'd You Only Call Me When You're High?;Arctic Monkeys;10/03/2023;0.691;0.631;-6.478.000;0.037;0.048;0.000;0.800;6;120
138;Wildcard;Miley Cyrus;10/03/2023;0.723;0.676;-6.266.000;0.051;0.116;0.135;0.232;63;1
113;Without Me;Eminem;10/03/2023;0.908;0.669;-2.827.000;0.074;0.003;0.000;0.662;88;149
28;X SI VOLVEMOS;KAROL G, Romeo Santos;10/03/2023;0.794;0.807;-3.447.000;0.326;0.334;0.000;0.575;173;113
9;Yandel 150;Yandel, Feid;10/03/2023;0.783;0.729;-3.549.000;0.069;0.049;0.000;0.580;192;146
118;Yellow;Coldplay;10/03/2023;0.429;0.661;-7.227.000;0.028;0.002;0.000;0.285;83;149
82;You;Miley Cyrus;10/03/2023;0.625;0.568;-5.663.000;0.032;0.288;0.000;0.348;119;2
166;You Proof;Morgan Wallen;10/03/2023;0.732;0.839;-5.007.000;0.035;0.265;0.000;0.629;35;38
60;10:35;Tiësto, Tate McRae;09/03/2023;0.696;0.793;-5.733.000;0.097;0.068;0.000;0.698;141;120
97;505;Arctic Monkeys;09/03/2023;0.520;0.852;-5.866.000;0.054;0.002;0.000;0.234;104;149
182;About Damn Time;Lizzo;09/03/2023;0.836;0.743;-6.305.000;0.065;0.097;0.000;0.723;19;66
174;After Hours;The Weeknd;09/03/2023;0.664;0.572;-6.099.000;0.031;0.081;0.006;0.143;27;17
167;Ain't That Some;Morgan Wallen;09/03/2023;0.641;0.803;-5.781.000;0.029;0.002;0.000;0.671;34;8
34;AMG;Natanael Cano, Peso Pluma, Gabito Ballesteros;09/03/2023;0.772;0.730;-6.657.000;0.097;0.152;0.000;0.786;167;144
25;Another Love;Tom Odell;09/03/2023;0.442;0.538;-8.550;0.045;0.717;0.000;0.139;176;149
17;Anti-Hero;Taylor Swift;09/03/2023;0.637;0.643;-6.571.000;0.052;0.130;0.000;0.533;184;149
131;Apocalypse;Cigarettes After Sex;09/03/2023;0.369;0.467;-9.018.000;0.027;0.019;0.460;0.174;70;148
6;As It Was;Harry Styles;09/03/2023;0.520;0.731;-5.338.000;0.056;0.342;0.001;0.662;195;149
64;Bad Habit;Steve Lacy;09/03/2023;0.686;0.494;-7.093.000;0.036;0.613;0.000;0.700;137;149
49;Bebe Dame;Fuerza Regida, Grupo Frontera;09/03/2023;0.529;0.602;-4.629.000;0.046;0.299;0.000;0.756;152;149
124;Believer;Imagine Dragons;09/03/2023;0.776;0.780;-4.374.000;0.128;0.062;0.000;0.666;77;149
185;Besos Moja2;Wisin & Yandel, ROSALÍA;09/03/2023;0.736;0.727;-4.642.000;0.057;0.058;0.000;0.644;16;68
128;Blank Space;Taylor Swift;09/03/2023;0.760;0.703;-5.412.000;0.054;0.103;0.000;0.570;73;148
44;Blinding Lights;The Weeknd;09/03/2023;0.514;0.730;-5.934.000;0.060;0.001;0.000;0.334;157;149
161;Bloody Mary;Lady Gaga;09/03/2023;0.591;0.637;-6.365.000;0.030;0.011;0.000;0.432;40;77
39;Bones;Imagine Dragons;09/03/2023;0.772;0.750;-3.670;0.046;0.020;0.000;0.587;162;149
5;Boy's a liar Pt. 2;PinkPantheress, Ice Spice;09/03/2023;0.696;0.809;-8.254.000;0.050;0.252;0.000;0.857;196;139
74;CAIRO;KAROL G, Ovy On The Drums;09/03/2023;0.957;0.677;-3.979.000;0.292;0.483;0.000;0.469;127;105
104;Call Out My me;The Weeknd;09/03/2023;0.461;0.593;-4.954.000;0.036;0.170;0.000;0.175;97;119
9;Calm Down (with Selena Gomez);Rema, Selena Gomez;09/03/2023;0.801;0.806;-5.206.000;0.038;0.382;0.001;0.802;192;149
154;Can't Hold Us (feat. Ray Dalton);Macklemore & Ryan Lewis, Macklemore, Ryan Lewis, Ray Dalton;09/03/2023;0.633;0.927;-4.468.000;0.084;0.027;0.000;0.880;47;132
33;ceilings;Lizzy McAlpine;09/03/2023;0.516;0.322;-11.762.000;0.029;0.473;0.002;0.261;168;105
111;Ch y la Pizza;Fuerza Regida, Natanael Cano;09/03/2023;0.628;0.668;-2.722.000;0.117;0.329;0.000;0.845;90;125
50;CHORRITO PA LAS ANIMAS;Feid;09/03/2023;0.743;0.831;-4.042.000;0.058;0.114;0.000;0.609;151;148
96;Cold Heart - PNAU Remix;Elton John, Dua Lipa, PNAU;09/03/2023;0.795;0.800;-6.320;0.031;0.035;0.000;0.934;105;149
146;Counting Stars;OneRepublic;09/03/2023;0.664;0.705;-4.972.000;0.038;0.065;0.000;0.477;55;148
7;Creepin' (with The Weeknd & 21 Savage);Metro Boomin, The Weeknd, 21 Savage;09/03/2023;0.715;0.620;-6.005.000;0.048;0.417;0.000;0.172;194;149
69;CUFF IT;Beyoncé;09/03/2023;0.780;0.689;-5.668.000;0.141;0.037;0.000;0.642;132;145
57;Cupido;TINI;09/03/2023;0.913;0.584;-5.263.000;0.223;0.521;0.000;0.627;144;102
91;Dandelions;Ruth B.;09/03/2023;0.609;0.692;-2.958.000;0.026;0.016;0.000;0.454;110;149
179;Dark Red;Steve Lacy;09/03/2023;0.603;0.784;-4.023.000;0.062;0.446;0.000;0.769;22;101
170;Demons;Imagine Dragons;09/03/2023;0.505;0.710;-3.015.000;0.032;0.190;0.000;0.428;31;126
98;DESPECHÁ;ROSALÍA;09/03/2023;0.914;0.622;-6.538.000;0.089;0.146;0.000;0.770;103;142
187;Diamonds;Rihanna;09/03/2023;0.564;0.710;-4.920;0.046;0.001;0.000;0.393;14;22
15;Die For You;The Weeknd;09/03/2023;0.586;0.525;-7.163.000;0.062;0.111;0.000;0.508;186;181
3;Die For You - Remix;The Weeknd, Ariana Grande;09/03/2023;0.531;0.525;-6.500;0.067;0.232;0.000;0.502;198;18
43;Ditto;NewJeans;09/03/2023;0.814;0.641;-5.957.000;0.111;0.027;0.000;0.183;158;145
151;Do I Wanna Know?;Arctic Monkeys;09/03/2023;0.548;0.532;-7.596.000;0.032;0.186;0.000;0.405;50;139
126;Easy On Me;Adele;09/03/2023;0.604;0.366;-7.519.000;0.028;0.578;0.000;0.130;75;148
78;Efecto;Bad Bunny;09/03/2023;0.801;0.475;-8.797.000;0.052;0.141;0.000;0.234;123;149
142;El Azul;Junior H, Peso Pluma;09/03/2023;0.558;0.648;-7.081.000;0.055;0.226;0.000;0.844;59;95
77;El Gordo Trae El Mando;Chino Pacas;09/03/2023;0.736;0.800;-5.380;0.053;0.179;0.000;0.961;124;107
75;El Merengue;Marshmello, Manuel Turizo;09/03/2023;0.775;0.677;-4.703.000;0.044;0.031;0.005;0.698;126;87
145;En Paris;El Chachito, Junior H;09/03/2023;0.702;0.483;-7.990;0.052;0.366;0.000;0.769;56;66
165;Enemy (with JID) - from the series Arcane League of Legends;Imagine Dragons, JID, Arcane, League of Legends;09/03/2023;0.728;0.783;-4.424.000;0.266;0.237;0.000;0.555;36;96
20;Escapism.;RAYE, 070 Shake;09/03/2023;0.538;0.742;-5.355.000;0.114;0.138;0.000;0.250;181;149
172;Everything I Love;Morgan Wallen;09/03/2023;0.568;0.841;-3.802.000;0.026;0.005;0.001;0.668;29;10
35;Feliz Cumpleaños Ferxxo;Feid;09/03/2023;0.865;0.573;-5.501.000;0.068;0.086;0.000;0.563;166;149
62;Fin de Semana;Oscar Maydon, Junior H;09/03/2023;0.699;0.541;-4.943.000;0.083;0.063;0.000;0.365;139;134
2;Flowers;Miley Cyrus;09/03/2023;0.707;0.681;-4.325.000;0.067;0.063;0.000;0.646;199;137
188;Gangsta's Paradise;Coolio, L.V.;09/03/2023;0.647;0.514;-10.050;0.059;0.066;0.000;0.386;13;97
73;Gato de Noche;Ñengo Flow, Bad Bunny;09/03/2023;0.892;0.662;-3.894.000;0.162;0.169;0.000;0.607;128;126
86;Ghost;Justin Bieber;09/03/2023;0.601;0.741;-5.569.000;0.048;0.185;0.000;0.441;115;149
94;Glimpse of Us;Joji;09/03/2023;0.440;0.317;-9.258.000;0.053;0.891;0.000;0.268;107;145
27;golden hour;JVKE;09/03/2023;0.515;0.593;-4.801.000;0.032;0.653;0.162;0.153;174;149
178;Heart To Heart;Mac DeMarco;09/03/2023;0.901;0.136;-16.127.000;0.102;0.667;0.354;0.643;23;78
180;Heartless;The Weeknd;09/03/2023;0.537;0.746;-5.507.000;0.150;0.024;0.000;0.252;21;12
66;Heat Waves;Glass Animals;09/03/2023;0.761;0.525;-6.900;0.094;0.440;0.000;0.531;135;149
196;Heather;Conan Gray;09/03/2023;0.357;0.425;-7.301.000;0.033;0.584;0.000;0.270;5;67
102;Heaven;Niall Horan;09/03/2023;0.571;0.761;-3.485.000;0.026;0.071;0.000;0.681;99;41
19;Here With Me;d4vd;09/03/2023;0.574;0.469;-8.209.000;0.025;0.534;0.000;0.288;182;149
18;Hey Mor;Ozuna, Feid;09/03/2023;0.901;0.589;-6.713.000;0.289;0.003;0.000;0.399;183;149
147;Hype Boy;NewJeans;09/03/2023;0.593;0.935;-3.430;0.225;0.268;0.000;0.783;54;84
30;I Ain't Worried;OneRepublic;09/03/2023;0.697;0.802;-6.412.000;0.046;0.099;0.000;0.822;171;149
157;I Like You (A Happier Song) (with Doja Cat);Post Malone, Doja Cat;09/03/2023;0.733;0.670;-6.009.000;0.075;0.121;0.000;0.472;44;81
159;I Love You So;The Walters;09/03/2023;0.575;0.648;-4.891.000;0.036;0.583;0.000;0.466;42;106
32;I Wanna Be Yours;Arctic Monkeys;09/03/2023;0.464;0.417;-9.345.000;0.026;0.136;0.022;0.479;169;149
95;I Was Never There;The Weeknd, Gesaffelstein;09/03/2023;0.323;0.737;-4.008.000;0.034;0.142;0.000;0.155;106;140
162;If We Ever Broke Up;Mae Stephens;09/03/2023;0.898;0.732;-3.982.000;0.043;0.621;0.000;0.960;39;57
13;I'm Good (Blue);David Guetta, Bebe Rexha;09/03/2023;0.561;0.965;-3.673.000;0.034;0.004;0.000;0.304;188;149
191;In Ha Mood;Ice Spice;09/03/2023;0.768;0.740;-6.595.000;0.336;0.696;0.000;0.532;10;15
141;In the End;Linkin Park;09/03/2023;0.556;0.864;-5.870;0.058;0.010;0.000;0.400;60;37
148;Jimmy Cooks (feat. 21 Savage);Drake, 21 Savage;09/03/2023;0.529;0.673;-4.711.000;0.175;0.000;0.000;0.366;53;145
40;Just Wan Rock;Lil Uzi Vert;09/03/2023;0.486;0.545;-7.924.000;0.034;0.065;0.005;0.039;161;120
140;Kahani Suno 2.0;Kaifi Khalil;09/03/2023;0.577;0.379;-13.235.000;0.037;0.909;0.001;0.260;61;46
4;Kill Bill;SZA;09/03/2023;0.644;0.735;-5.747.000;0.039;0.052;0.144;0.418;197;149
83;Komang;Raim Laode;09/03/2023;0.696;0.412;-8.547.000;0.027;0.415;0.000;0.349;118;83
12;La Bachata;Manuel Turizo;09/03/2023;0.835;0.679;-5.329.000;0.036;0.583;0.000;0.850;189;149
89;La Bebe;Yng Lvcas;09/03/2023;0.775;0.465;-8.365.000;0.365;0.609;0.000;0.707;112;74
186;LA CANCIÓN;J Balvin, Bad Bunny;09/03/2023;0.754;0.646;-5.795.000;0.317;0.152;0.000;0.429;15;88
138;LA INOCENTE;Mora, Feid;09/03/2023;0.757;0.789;-3.460;0.058;0.307;0.000;0.464;63;118
31;La Jumpa;Arcángel, Bad Bunny;09/03/2023;0.887;0.234;-14.520;0.178;0.111;0.670;0.197;170;149
14;Last Night;Morgan Wallen;09/03/2023;0.492;0.675;-5.456.000;0.039;0.467;0.000;0.478;187;119
114;Late Night Talking;Harry Styles;09/03/2023;0.714;0.728;-4.595.000;0.047;0.298;0.000;0.901;87;121
113;Lavender Haze;Taylor Swift;09/03/2023;0.733;0.436;-10.489.000;0.080;0.258;0.001;0.098;88;149
100;Leão;Marília Mendonça;09/03/2023;0.743;0.865;-3.897.000;0.032;0.449;0.000;0.794;101;114
176;Left and Right (Feat. Jung Kook of BTS);Charlie Puth, Jung Kook, BTS;09/03/2023;0.881;0.592;-4.898.000;0.032;0.619;0.000;0.719;25;108
105;LET GO;Central Cee;09/03/2023;0.735;0.449;-9.933.000;0.383;0.859;0.000;0.514;96;90
132;LOKERA;Rauw Alejandro, Lyanno, Brray;09/03/2023;0.836;0.826;-2.660;0.046;0.213;0.000;0.579;69;101
173;Lose Yourself;Eminem;09/03/2023;0.686;0.735;-4.616.000;0.264;0.009;0.001;0.060;28;120
173;"Lose Yourself - From ""8 Mile"" Soundtrack";Eminem;09/03/2023;0.686;0.735;-4.616.000;0.264;0.009;0.001;0.060;28;103
197;Love Again;The Kid LAROI;09/03/2023;0.662;0.398;-6.691.000;0.028;0.716;0.000;0.468;4;41
194;Love On The Brain;Rihanna;09/03/2023;0.509;0.637;-4.830;0.047;0.072;0.000;0.378;7;26
103;lovely (with Khalid);Billie Eilish, Khalid;09/03/2023;0.351;0.296;-10.109.000;0.033;0.934;0.000;0.120;98;149
112;Low;SZA;09/03/2023;0.698;0.546;-7.234.000;0.056;0.425;0.003;0.335;89;99
63;Made You Look;Meghan Trainor;09/03/2023;0.838;0.525;-3.562.000;0.067;0.345;0.000;0.884;138;135
163;Malas Decisiones;Kenia OS;09/03/2023;0.812;0.791;-3.704.000;0.028;0.047;0.000;0.635;38;44
121;Marisola - Remix;Cris Mj, Duki, Nicki Nicole, Standly, Stars Music Chile;09/03/2023;0.765;0.872;-5.863.000;0.050;0.173;0.000;0.722;80;99
51;Mas Rica Que Ayer;Anuel AA, Mambo Kingz, DJ Luian;09/03/2023;0.818;0.666;-5.319.000;0.076;0.343;0.000;0.529;150;31
45;Me Porto Bonito;Bad Bunny, Chencho Corleone;09/03/2023;0.911;0.712;-5.105.000;0.082;0.090;0.000;0.425;156;149
54;MERCHO;LiL CaKe, Migrantes, Nico Valdi;09/03/2023;0.838;0.790;-1.602.000;0.108;0.431;0.000;0.962;147;122
118;METAMORPHOSIS;INTERWORLD;09/03/2023;0.593;0.641;-12.727.000;0.099;0.426;0.901;0.147;83;148
65;MIENTRAS ME CURO DEL CORA;KAROL G;09/03/2023;0.523;0.477;-6.786.000;0.392;0.855;0.000;0.570;136;95
79;Miss You;Oliver Tree, Robin Schulz;09/03/2023;0.587;0.742;-6.640;0.053;0.013;0.001;0.199;122;97
41;Mockingbird;Eminem;09/03/2023;0.637;0.678;-3.798.000;0.266;0.209;0.000;0.254;160;149
192;Money Trees;Kendrick Lamar, Jay Rock;09/03/2023;0.716;0.531;-7.355.000;0.122;0.070;0.000;0.344;9;84
169;Monotonía;Shakira, Ozuna;09/03/2023;0.873;0.695;-4.207.000;0.046;0.419;0.000;0.823;32;81
195;Moscow Mule;Bad Bunny;09/03/2023;0.804;0.674;-5.453.000;0.033;0.294;0.000;0.292;6;73
166;Murder In My Mind;Kordhell;09/03/2023;0.712;0.972;-0.514;0.112;0.005;0.000;0.568;35;102
198;My Universe;Coldplay, BTS;09/03/2023;0.573;0.711;-6.268.000;0.041;0.011;0.000;0.470;3;73
175;Neverita;Bad Bunny;09/03/2023;0.876;0.498;-7.511.000;0.048;0.071;0.000;0.428;26;81
139;Night Changes;One Direction;09/03/2023;0.672;0.520;-7.747.000;0.035;0.859;0.000;0.370;62;149
88;No Role Modelz;J. Cole;09/03/2023;0.690;0.521;-8.492.000;0.339;0.324;0.000;0.494;113;149
181;No Se Va - En Vivo;Grupo Frontera;09/03/2023;0.594;0.527;-9.335.000;0.034;0.121;0.000;0.692;20;110
133;Nobody Gets Me;SZA;09/03/2023;0.358;0.284;-8.285.000;0.029;0.805;0.000;0.276;68;75
84;Nonsense;Sabrina Carpenter;09/03/2023;0.740;0.697;-4.912.000;0.034;0.027;0.000;0.732;117;138
85;Normal;Feid;09/03/2023;0.709;0.560;-4.867.000;0.171;0.034;0.000;0.541;116;147
70;Nosso Quadro;AgroPlay, A Castela;09/03/2023;0.691;0.708;-4.821.000;0.195;0.338;0.000;0.602;131;101
72;Ojitos Lindos;Bad Bunny, Bomba Estéreo;09/03/2023;0.647;0.686;-5.745.000;0.041;0.080;0.000;0.268;129;149
21;OMG;NewJeans;09/03/2023;0.804;0.771;-4.067.000;0.043;0.357;0.000;0.739;180;148
48;on the street (with J. Cole);j-hope, J. Cole;09/03/2023;0.681;0.821;-5.120;0.131;0.532;0.001;0.813;153;22
123;One Thing At A Time;Morgan Wallen;09/03/2023;0.613;0.914;-5.153.000;0.030;0.005;0.000;0.916;78;14
59;People;Libianca;09/03/2023;0.573;0.422;-7.621.000;0.068;0.551;0.000;0.693;142;139
87;Perfect;Ed Sheeran;09/03/2023;0.599;0.448;-6.312.000;0.023;0.163;0.000;0.168;114;149
150;PERO TÚ;KAROL G, Quevedo;09/03/2023;0.861;0.790;-4.561.000;0.291;0.394;0.000;0.681;51;21
137;PLAYA DEL INGLÉS;Quevedo, Myke Towers;09/03/2023;0.793;0.736;-3.254.000;0.047;0.082;0.000;0.656;64;97
28;Players;Coi Leray;09/03/2023;0.954;0.516;-5.817.000;0.160;0.030;0.000;0.624;173;131
136;Por las Noches;Peso Pluma;09/03/2023;0.807;0.595;-7.190;0.033;0.310;0.000;0.392;65;93
37;PRC;Peso Pluma, Natanael Cano;09/03/2023;0.784;0.826;-6.340;0.054;0.097;0.000;0.893;164;125
92;Private Landing (feat. Justin Bieber & Future);Don Toliver, Justin Bieber, Future;09/03/2023;0.843;0.669;-4.105.000;0.064;0.085;0.000;0.435;109;15
71;PROVENZA;KAROL G;09/03/2023;0.870;0.517;-7.918.000;0.048;0.576;0.006;0.540;130;149
58;PUNTO G;Quevedo;09/03/2023;0.751;0.761;-4.113.000;0.150;0.251;0.000;0.553;143;140
61;Que Vuelvas;Carin Leon, Grupo Frontera;09/03/2023;0.491;0.643;-4.309.000;0.044;0.187;0.000;0.779;140;149
29;Quevedo: Bzrp Music Sessions, Vol. 52;Bizarrap, Quevedo;09/03/2023;0.621;0.782;-5.548.000;0.044;0.013;0.033;0.550;172;149
81;Rara Vez;Taiu, Milo j;09/03/2023;0.838;0.708;-4.668.000;0.166;0.176;0.000;0.960;120;95
125;Red Ruby Da Sleeze;Nicki Minaj;09/03/2023;0.696;0.733;-6.181.000;0.256;0.115;0.000;0.292;76;14
67;Reminder;The Weeknd;09/03/2023;0.706;0.505;-6.923.000;0.193;0.142;0.000;0.388;134;101
177;Revenge;XXXTENTACION;09/03/2023;0.746;0.251;-16.169.000;0.259;0.782;0.002;0.180;24;77
46;Rich Flex;Drake, 21 Savage;09/03/2023;0.561;0.520;-9.342.000;0.244;0.050;0.000;0.424;155;149
135;Riptide;Vance Joy;09/03/2023;0.484;0.731;-6.694.000;0.038;0.431;0.000;0.510;66;149
52;Romantic Homicide;d4vd;09/03/2023;0.571;0.544;-10.613.000;0.030;0.453;0.008;0.216;149;149
80;Save Your Tears;The Weeknd;09/03/2023;0.680;0.826;-5.487.000;0.031;0.021;0.000;0.644;121;149
106;Save Your Tears (Remix) (with Ariana Grande);The Weeknd, Ariana Grande;09/03/2023;0.650;0.825;-4.645.000;0.033;0.022;0.000;0.593;95;117
153;Say You Won't Let Go;James Arthur;09/03/2023;0.358;0.557;-7.398.000;0.059;0.695;0.000;0.494;48;104
183;Sem Aliança no Dedo;MC Xenon, Os Gemeos da Putaria;09/03/2023;0.532;0.355;-6.632.000;0.332;0.732;0.000;0.399;18;17
129;Set Fire to the Rain;Adele;09/03/2023;0.603;0.670;-3.882.000;0.025;0.004;0.000;0.446;72;131
10;Shakira: Bzrp Music Sessions, Vol. 53;Bizarrap, Shakira;09/03/2023;0.778;0.632;-5.600;0.049;0.274;0.000;0.498;191;138
158;Shape of You;Ed Sheeran;09/03/2023;0.825;0.652;-3.183.000;0.080;0.581;0.000;0.931;43;140
190;Shinunoga E-Wa;Fujii Kaze;09/03/2023;0.600;0.760;-6.124.000;0.045;0.166;0.000;0.519;11;73
134;Shivers;Ed Sheeran;09/03/2023;0.788;0.859;-2.724.000;0.086;0.281;0.000;0.822;67;142
16;Shorty Party;Cartel De Santa, La Kelly;09/03/2023;0.928;0.468;-8.196.000;0.364;0.328;0.000;0.470;185;79
193;Shut Down;BLACKPINK;09/03/2023;0.818;0.690;-5.119.000;0.045;0.003;0.000;0.688;8;122
144;Shut up My Moms Calling;Hotel Ugly;09/03/2023;0.485;0.409;-10.711.000;0.101;0.325;0.000;0.376;57;132
120;Sial;Mahalini;09/03/2023;0.563;0.431;-6.784.000;0.039;0.890;0.000;0.196;81;67
38;Snooze;SZA;09/03/2023;0.559;0.551;-7.231.000;0.132;0.141;0.000;0.392;163;146
82;Someone You Loved;Lewis Capaldi;09/03/2023;0.501;0.405;-5.679.000;0.032;0.751;0.000;0.446;119;149
171;Something in the Orange;Zach Bryan;09/03/2023;0.369;0.192;-12.151.000;0.040;0.555;0.000;0.148;30;101
189;Somewhere Only We Know;Keane;09/03/2023;0.448;0.665;-4.203.000;0.026;0.060;0.000;0.304;12;122
76;SP;Rosa Linn;09/03/2023;0.565;0.636;-8.198.000;0.064;0.107;0.000;0.525;125;120
199;Space Song;Beach House;09/03/2023;0.508;0.792;-7.311.000;0.030;0.229;0.124;0.601;2;61
119;SPIT IN MY FACE!;ThxSoMch;09/03/2023;0.730;0.785;-6.512.000;0.055;0.046;0.022;0.649;82;92
24;Starboy;The Weeknd, Daft Punk;09/03/2023;0.679;0.587;-7.015.000;0.276;0.141;0.000;0.486;177;149
156;Stargirl Interlude;The Weeknd, La Del Rey;09/03/2023;0.715;0.470;-12.638.000;0.077;0.353;0.092;0.426;45;139
55;STAY (with Justin Bieber);The Kid LAROI, Justin Bieber;09/03/2023;0.591;0.764;-5.484.000;0.048;0.038;0.000;0.478;146;149
149;Summertime Sadness;Lana Del Rey;09/03/2023;0.568;0.646;-6.793.000;0.033;0.046;0.000;0.211;52;148
184;Sunflower - Spider-Man: Into the Spider-Verse;Post Malone, Swae Lee;09/03/2023;0.755;0.522;-4.368.000;0.058;0.533;0.000;0.925;17;129
47;Superhero (Heroes & Villains) [with Future & Chris Brown];Metro Boomin, Future, Chris Brown;09/03/2023;0.526;0.606;-5.300;0.259;0.152;0.000;0.492;154;149
160;Superman;Eminem, Dina Rae;09/03/2023;0.802;0.755;-3.138.000;0.056;0.022;0.000;0.580;41;136
36;Sure Thing;Miguel;09/03/2023;0.684;0.607;-8.127.000;0.100;0.027;0.000;0.498;165;149
56;Sweater Weather;The Neighbourhood;09/03/2023;0.612;0.807;-2.810;0.034;0.050;0.018;0.398;145;149
117;The Color Violet;Tory Lanez;09/03/2023;0.645;0.534;-10.800;0.048;0.157;0.000;0.463;84;141
127;The Hills;The Weeknd;09/03/2023;0.585;0.564;-7.063.000;0.052;0.067;0.000;0.137;74;116
143;The Real Slim Shady;Eminem;09/03/2023;0.949;0.661;-4.244.000;0.057;0.030;0.000;0.760;58;147
101;Thinkin' Bout Me;Morgan Wallen;09/03/2023;0.656;0.757;-5.775.000;0.031;0.492;0.000;0.429;100;10
93;Those Eyes;New West;09/03/2023;0.593;0.352;-8.296.000;0.028;0.695;0.000;0.226;108;149
68;Tití Me Preguntó;Bad Bunny;09/03/2023;0.650;0.715;-5.198.000;0.253;0.099;0.000;0.187;133;149
23;Tormenta (feat. Bad Bunny);Gorillaz, Bad Bunny;09/03/2023;0.637;0.768;-6.468.000;0.056;0.458;0.002;0.297;178;42
1;TQG;KAROL G, Shakira;09/03/2023;0.720;0.630;-3.547.000;0.277;0.673;0.000;0.607;200;95
115;Trance (with Travis Scott & Young Thug);Metro Boomin, Travis Scott, Young Thug;09/03/2023;0.571;0.549;-7.380;0.404;0.180;0.000;0.447;86;86
200;Umbrella;Rihanna, JAY-Z;09/03/2023;0.583;0.829;-4.603.000;0.134;0.009;0.000;0.575;1;29
42;Under The Influence;Chris Brown;09/03/2023;0.733;0.690;-5.529.000;0.043;0.064;0.000;0.310;159;149
11;Unholy (feat. Kim Petras);Sam Smith, Kim Petras;09/03/2023;0.712;0.463;-7.399.000;0.080;0.011;0.000;0.206;190;149
122;Unstoppable;Sia;09/03/2023;0.468;0.779;-4.839.000;0.078;0.112;0.000;0.260;79;149
90;Until I Found You;Stephen Sanchez;09/03/2023;0.346;0.500;-6.097.000;0.039;0.757;0.000;0.191;111;147
22;Until I Found You (with Em Beihold) - Em Beihold Version;Stephen Sanchez, Em Beihold;09/03/2023;0.551;0.550;-5.339.000;0.029;0.777;0.000;0.342;179;149
168;VISTA AL MAR;Quevedo;09/03/2023;0.759;0.561;-5.643.000;0.131;0.803;0.121;0.491;33;76
109;Viva La Vida;Coldplay;09/03/2023;0.486;0.617;-7.115.000;0.029;0.095;0.000;0.417;92;149
152;WANDA;Quevedo;09/03/2023;0.724;0.631;-4.420;0.069;0.249;0.000;0.957;49;59
53;Watch This - ArizonaTears Pluggnb Remix;Lil Uzi Vert, sped up nightcore, ArizonaTears;09/03/2023;0.686;0.897;-7.180;0.039;0.010;0.103;0.355;148;92
116;Watermelon Sugar;Harry Styles;09/03/2023;0.548;0.816;-4.209.000;0.047;0.122;0.000;0.557;85;149
99;We Found Love;Rihanna, Calvin Harris;09/03/2023;0.734;0.766;-4.485.000;0.038;0.025;0.001;0.600;102;106
107;When I Was Your Man;Bruno Mars;09/03/2023;0.601;0.271;-8.688.000;0.040;0.937;0.000;0.411;94;148
164;Why'd You Only Call Me When You're High?;Arctic Monkeys;09/03/2023;0.691;0.631;-6.478.000;0.037;0.048;0.000;0.800;37;120
108;Without Me;Eminem;09/03/2023;0.908;0.669;-2.827.000;0.074;0.003;0.000;0.662;93;149
26;X SI VOLVEMOS;KAROL G, Romeo Santos;09/03/2023;0.794;0.807;-3.447.000;0.326;0.334;0.000;0.575;175;113
8;Yandel 150;Yandel, Feid;09/03/2023;0.783;0.729;-3.549.000;0.069;0.049;0.000;0.580;193;146
110;Yellow;Coldplay;09/03/2023;0.429;0.661;-7.227.000;0.028;0.002;0.000;0.285;91;149
155;You Proof;Morgan Wallen;09/03/2023;0.732;0.839;-5.007.000;0.035;0.265;0.000;0.629;46;38
